"OBJECTID_12","OBJECTID","caption","url","isUrban","latitude","longitude","id","owner","hometown","datetaken","dateupload","tags1","tags2","tags3","tags4","tags5","tags6","tags7","tags8","tags9","tags10","uniqueID","OBJECTID_1","STUSPS"
157620,157629,"Lake Champlain Afterglow 13 Minutes After Sunset Burlington Waterfront Park
Burlington, Vermont Breaking up our drive to northern New England with nights
in Lancaster County, PA, and Lenox, MA, we arrived in Burlington the third
evening of our trip not l","https://farm5.staticflickr.com/4511/36905946173_5d46dcb923.jpg",0,44.476863,-73.222648,36905946173,"31138867@N08","Waynesfield, OH","9/13/2017 19:19","10/8/2017 17:54","water","sky","sea","waterway","calm","boat","sail","river","sailboat","loch",157629,2,"VT"
170594,170603,"A few more pictures I got over vacation of my cousin Ollie.","https://farm9.staticflickr.com/8005/7521889964_57a55e48a7.jpg",0,44.181157,-72.840149,7521889964,"54302859@N08"," ","6/26/2012 10:41","7/7/2012 18:18","red","skin","child","standing","toddler","boy","smile","girl","organ","fun",170603,2,"VT"
60674,60682,"[andyarthur.org/new-york-state/hamilton-county/moose-
river...](http://andyarthur.org/new-york-state/hamilton-county/moose-river-
plains/wakely-pond/photos-wakely-pond-sep-20-2013-part-b.html) Wakely Pond on
Friday Sep 20, 2013. Copyright (c)2013 Andy Ar","https://farm6.staticflickr.com/5572/15255160191_c041d5c809.jpg",0,43.7374,-74.467737,15255160191,"45846171@N04"," ","9/20/2013 14:23","9/16/2014 14:29","waterway","water","lake","river","tree","leaf","sky","wetland","bank","bayou",60682,1,"NY"
202150,202159,"Green Mountain Gravel Growler [www.bikepacking.com/routes/green-mountain-
gravel-growler/](http://www.bikepacking.com/routes/green-mountain-gravel-
growler/)","https://farm5.staticflickr.com/4507/37660268092_035485c3d2.jpg",0,44.599038,-72.30432,37660268092,"24518536@N08"," ","10/2/2017 6:50","10/14/2017 15:44","property","sky","house","cottage","tree","real estate","home","morning","cloud","plant",202159,2,"VT"
49471,49479,"I spotted this little shanty like structure along the former West Shore right-
of-way between Utica and Frankfort, NY. Any info on this would be very much
appreciated!!!!","https://farm8.staticflickr.com/7698/26877026095_9ab0d30a2f.jpg",0,43.074279,-75.127215,26877026095,"97630304@N02"," ","5/7/2016 2:36","5/7/2016 22:32","nature reserve","house","shack","tree","cottage","hut","plant","log cabin","rural area","home",49479,1,"NY"
54081,54089,"North Trail of Kane Mountain.","https://farm6.staticflickr.com/5599/15506335476_d733be36de.jpg",0,43.184238,-74.511939,15506335476,"40092103@N00","Donegal Town, Ireland","10/13/2014 13:17","10/13/2014 19:43","woodland","tree","ecosystem","forest","woody plant","deciduous","leaf","vegetation","path","grove",54089,1,"NY"
170119,170128,"Right: American Flatbread, Warren, VT; Right: enjoying the river at Quechee
Gorge","https://farm6.staticflickr.com/5823/21707415674_4e2edf08de.jpg",0,44.173039,-72.834162,21707415674,"32401158@N03"," ","10/20/2015 8:16","10/20/2015 12:18","black and white","line art","drawing","structure","sketch","line","artwork","area","design","monochrome",170128,2,"VT"
273375,273292,"Killdeer Charadrius vociferus near Eastport, Maine.","https://farm5.staticflickr.com/4234/35118377260_7fac292cc4.jpg",0,44.965436,-67.059078,35118377260,"33221594@N03"," ","5/29/2017 14:20","6/24/2017 14:35","bird","ecosystem","fauna","nature reserve","wildlife","beak","flora","ecoregion","grass family","grass",273292,4,"ME"
253786,253795,"Out of Acadia Night time Excursion to Jordan Pond with Nick Page","https://farm5.staticflickr.com/4488/26416386549_cbc060a031.jpg",0,44.3222,-68.254417,26416386549,"24706120@N05"," ","10/3/2017 22:31","11/5/2017 18:12","nature","sky","water","body of water","reflection","wilderness","lake","loch","mountain","reservoir",253795,4,"ME"
211987,211996,"A photo of the cog railway train going down, taken near the top of Mt.
Washington.","https://farm9.staticflickr.com/8806/17221743281_485edb9c5b.jpg",0,44.270923,-71.302968,17221743281,"76723779@N00","Stavanger","9/15/2014 16:20","4/21/2015 11:13","highland","ridge","mountain","mountainous landforms","wilderness","aerial photography","fell","mountain pass","sky","hill",211996,3,"NH"
41838,42332,"Becki doing a selfie of us at Turning Stone in front of one of the fountains","https://farm8.staticflickr.com/7281/9237756757_c5245e1334.jpg",0,43.115645,-75.589016,9237756757,"9126642@N03"," ","5/17/2013 20:37","5/18/2013 15:19","face","facial expression","person","smile","nose","head","chin","emotion","forehead","selfie",42332,1,"NY"
55995,56003,"Gino helping set up for the Dance Party","https://farm3.staticflickr.com/2823/8861365948_6156b06527.jpg",0,43.497942,-76.249816,8861365948,"91741671@N07"," ","5/26/2013 19:07","5/28/2013 0:53","mammal","sitting","vertebrate","day","fun","recreation","girl","flooring","child","play",56003,1,"NY"
23886,23886,"Interstate 93 Northbound at Exit 35","https://farm9.staticflickr.com/8865/27784170313_bdcde4c8bb.jpg",0,44.19203,-71.681367,27784170313,"135845320@N06"," ","7/18/2016 14:11","7/19/2016 0:07","road","highway","lane","controlled access highway","infrastructure","highland","transport","mode of transport","road trip","sky",23886,3,"NH"
145067,144924,"... it didn't take long for them to notice me. And off they went.","https://farm1.staticflickr.com/617/22057989765_9d8c9d4c84.jpg",0,44.277491,-73.293172,22057989765,"52336189@N00"," ","9/27/2015 9:25","10/9/2015 19:16","water","bird","fauna","water bird","duck","seabird","wildlife","ducks geese and swans","seaduck","beak",144924,2,"VT"
127870,127879,"My wife, father and I visited the boyhood home of Almanzo Wilder and took the
tour of the buildings.","https://farm9.staticflickr.com/8176/29155394971_9c90d306be.jpg",0,44.868169,-74.215563,29155394971,"27847413@N00","Constable, NY","8/10/2016 14:22","8/26/2016 1:45","house","property","sky","barn","home","cottage","farmhouse","rural area","tree","log cabin",127879,1,"NY"
78278,78287,"Shot with the Olympus E-M1 in Cambridge, New York.","https://farm9.staticflickr.com/8396/28701335006_160e16ec9e.jpg",0,43.026067,-73.381295,28701335006,"21789669@N00"," ","7/29/2016 0:02","8/5/2016 11:30","track","rail transport","transport","tree","path","plant","leaf","branch","forest","woodland",78287,1,"NY"
168620,168629,"Lake Champlain Afterglow 13 Minutes After Sunset Burlington Waterfront Park
Burlington, Vermont Breaking up our drive to northern New England with nights
in Lancaster County, PA, and Lenox, MA, we arrived in Burlington the third
evening of our trip not l","https://farm5.staticflickr.com/4511/36905946173_5d46dcb923.jpg",0,44.476863,-73.222648,36905946173,"31138867@N08","Waynesfield, OH","9/13/2017 19:19","10/8/2017 17:54","water","sky","sea","waterway","calm","boat","sail","river","sailboat","loch",168629,2,"VT"
171866,171875,"The church, designed in New England colonial style, was completed in 1863.","https://farm5.staticflickr.com/4335/36523955225_3348277cf7.jpg",0,44.465365,-72.684795,36523955225,"22462989@N05","Belfast","7/20/2017 19:59","8/12/2017 18:04","steeple","place of worship","sky","building","church","spire","chapel","tree","monument","house",171875,2,"VT"
275473,275483,"Note that the scoreboard works for football and baseball. Greenville no longer
has football because of declining enrollment.","https://farm8.staticflickr.com/7350/9235462871_b2961378be.jpg",0,45.457333,-69.6005,9235462871,"68904742@N04"," ","6/20/2013 13:01","7/8/2013 7:37","house","sky","building","architecture","home","residential area","real estate","daytime","tree","grass",275483,4,"ME"
170659,170668,"Varied Thrush 1719 Common Rd. Waitsfield, Vt","https://farm8.staticflickr.com/7151/6710656285_318d430cf9.jpg",0,44.167818,-72.802019,6710656285,"58845534@N05"," ","1/16/2012 10:23","1/16/2012 22:19","bird","fauna","ecosystem","beak","wildlife","branch","old world flycatcher","finch","tree","perching bird",170668,2,"VT"
208431,206808,"The Fryeburg Fair is a large agricultural fair held annually in Fryeburg in
the U.S. state of Maine on 1154 Main Street. The fair was first held in 1851,
and in subsequent years has grown to become the state's largest agricultural
fair. The Fryeburg fair","https://farm8.staticflickr.com/7388/10099969096_90ca4598a3.jpg",0,44.032547,-70.971156,10099969096,"98037770@N00","Standish, Maine","10/4/2013 13:37","10/5/2013 13:59","car","fair","public space","city","crowd","marketplace","market","stall","recreation","fun",206808,4,"ME"
217710,217175,"The above tree line section of the trail I maintain is, I have to say,
stunning. The trail's path goes to the end of this ridge and then plummets to
the left, steeply, into the valley below. From there, it follows a stream
called Goose Eye which has coun","https://farm5.staticflickr.com/4454/26176753879_c33ae9b899.jpg",0,44.501632,-70.988523,26176753879,"88216534@N06"," ","10/22/2017 15:00","10/26/2017 21:35","chaparral","wilderness","vegetation","nature","mountain","mountainous landforms","ridge","nature reserve","shrubland","leaf",217175,4,"ME"
43483,43977,"Another shot of the NYC depot once located on the mainline of the Rome,
Watertown & Ogdensburg Railroad at McConnellsville, NY. The station was
relocated to Erie Canal Village at Rome, NY in 1974.","https://farm6.staticflickr.com/5342/10060422655_ee6b2b2790.jpg",0,43.225599,-75.50399,10060422655,"97630304@N02"," ","10/1/2013 1:57","10/2/2013 22:27","house","home","property","cottage","tree","farmhouse","leaf","roof","real estate","plant",43977,1,"NY"
222821,222826,"Rangeley Lake From The Height Of The Land in Rangeley. Excellent perspective
of the area, good place for a picnic and photo session","https://farm8.staticflickr.com/7348/10052263313_bdffab7d56.jpg",0,44.906328,-70.72646,10052263313,"35328181@N03","Wayne Maine","10/1/2013 10:31","10/2/2013 12:17","leaf","nature","wilderness","autumn","ecosystem","mountain","nature reserve","highland","lake","fell",222826,4,"ME"
136766,136775,"Hanna Alex","https://farm8.staticflickr.com/7696/29686148391_4a303098c3.jpg",0,44.365488,-73.902839,29686148391,"26383131@N00","Bogota","9/17/2016 12:15","9/18/2016 17:25","sky","mountainous landforms","mountain","cloud","vacation","atmosphere of earth","smile","ridge","mountain range","terrain",136775,1,"NY"
278675,278689,"Oakfield August 31, 1979","https://farm9.staticflickr.com/8567/28353350334_c71231d56a.jpg",0,46.107421,-68.14727,28353350334,"146029714@N04"," ","3/28/2015 10:04","8/14/2016 9:41","transport","rail transport","train","track","locomotive","mode of transport","rolling stock","railroad car","sky","electrical supply",278689,4,"ME"
238078,238087,"[patrickjoust](http://www.patrickjoust.com/) |
[flickr](https://www.flickr.com/photos/patrickjoust/) |
[tumblr](http://patrickjoust.tumblr.com/) |
[instagram](https://www.instagram.com/patrickjoust/) |
[facebook](https://www.facebook.com/pages/Patrick-Jo","https://farm3.staticflickr.com/2854/34328757402_1e4dc84440.jpg",0,44.311074,-68.189756,34328757402,"20905078@N04","Oroville, CA","7/1/2016 0:00","5/6/2017 16:00","nature","night","sky","light","road","infrastructure","darkness","atmosphere","atmosphere of earth","lighting",238087,4,"ME"
169493,169502,"pheebs","https://farm4.staticflickr.com/3785/8925248429_57fd4ab825.jpg",0,44.127666,-72.877167,8925248429,"33811642@N00","Lakeville, MA","3/17/2013 10:33","6/2/2013 16:15","mammal","art","drawing","cartoon","sketch","figure drawing","arm","human","fictional character","muscle",169502,2,"VT"
233559,233568,"Bass Harbor Head, Maine; May 9, 2012","https://farm6.staticflickr.com/5350/8760227445_5a6fca8a7d.jpg",0,44.221777,-68.336539,8760227445,"23821443@N03"," ","5/9/2012 10:46","5/21/2013 2:17","water","sea","body of water","rock","coast","shore","wave","ocean","coastal and oceanic landforms","cliff",233568,4,"ME"
192549,192558,"Olympus digital camera","https://farm8.staticflickr.com/7268/7437017740_e9027bb759.jpg",0,44.980233,-73.106384,7437017740,"35799401@N07","Denver, CO","6/15/2012 16:28","6/25/2012 2:10","water","leisure","swimming pool","fun","vacation","recreation","leisure centre","water feature","play","child",192558,2,"VT"
201812,201821,"Front 3/4 shot of the old horse-drawn carriage. (July 2, 2016)","https://farm5.staticflickr.com/4233/35434934340_e0de4b8d6f.jpg",0,44.577222,-72.295834,35434934340,"146757535@N05"," ","7/2/2016 10:49","7/9/2017 20:44","mode of transport","carriage","tree","transport","motor vehicle","plant","horse and buggy","car","grass","rural area",201821,2,"VT"
44711,40210,"Glen Ellis Falls in Coos County, New Hampshire","https://farm9.staticflickr.com/8449/7957300564_b4917956f3.jpg",0,44.24271,-71.25187,7957300564,"89807811@N00"," ","8/25/2012 12:45","9/8/2012 19:32","water","stream","nature","body of water","watercourse","waterfall","nature reserve","creek","water resources","river",40210,3,"NH"
206817,208527,"This is the Ammonoosuc River, just a few miles west of its source on Mt.
Washington, and within the White Mountain National Forest of New Hampshire.
The location is in Jefferson Notch in the township of Crawfords Purchase,
population zero. I come here of","https://farm5.staticflickr.com/4429/36312046432_dbe23113fc.jpg",0,44.266388,-71.380278,36312046432,"98772145@N05","Burlington, VT","7/10/2017 19:43","8/10/2017 12:28","water","stream","nature","waterfall","body of water","creek","watercourse","water resources","nature reserve","vegetation",208527,3,"NH"
195570,195579,"Morgan Bridge - Waterville, VT","https://farm9.staticflickr.com/8329/8079960165_c0a348c8de.jpg",0,44.743436,-72.728022,8079960165,"55886671@N05"," ","10/11/2012 8:56","10/12/2012 14:59","road","infrastructure","path","bridge","tree","road surface","lane","asphalt","fixed link","plant",195579,2,"VT"
272954,272870,"June 25, 2015 - Fishing boats at the dock in Lubec, Maine. Lubec is the
eastern most point in the continental US. The bridge is the background is the
FDR Memorial Bridge crossing to Campobello Island in New Brunswick, Canada
where the Roosevelt family ma","https://farm1.staticflickr.com/339/19816852799_007febb06f.jpg",0,44.86289,-66.984007,19816852799,"26043666@N08"," ","6/25/2015 17:47","7/25/2015 19:45","water","waterway","boat","body of water","water transportation","boating","sky","watercraft","boats and boating equipment and supplies","watercraft rowing",272870,4,"ME"
132607,132616,"[www.flickr.com/photos/photomakak/12824937755](http://www.flickr.com/photos/photomakak/12824937755)
Tabletop Mountain, Adirondack Part of Winter 46ers peak bagging list","https://farm4.staticflickr.com/3696/12824937755_7bf64607c7.jpg",0,44.140244,-73.916017,12824937755,"56473607@N05","Montreal","2/22/2014 13:05","2/28/2014 1:14","snow","tree","winter","woody plant","freezing","forest","plant","woodland","ice","ski equipment",132616,1,"NY"
187995,186245,"The MIlton Speedway was a very popular Nascar sanctioned Drag Way in Milton,
Vermont. Lots of NHRA cars have raced here, famous ones too. The raceway was
closed down sometime in the late 70s and early 80s. Its been abandoned ever
since and nature is star","https://farm4.staticflickr.com/3842/15029045340_ed089f03eb.jpg",0,44.625556,-73.143346,15029045340,"58210871@N06"," ","8/16/2014 14:47","9/12/2014 12:52","road","path","vegetation","tree","sky","nature reserve","grass","field","leaf","forest",186245,2,"VT"
58502,58510,"2017-08-09","https://farm5.staticflickr.com/4431/36435789506_2b1661f23d.jpg",0,43.717902,-74.966303,36435789506,"27874898@N00","Syracuse, NY","8/9/2017 12:29","8/10/2017 14:09","water","yellow","vacation","fun","day","play","child","sand","beach","leisure",58510,1,"NY"
60695,60703,"[andyarthur.org/new-york-state/hamilton-county/moose-
river...](http://andyarthur.org/new-york-state/hamilton-county/moose-river-
plains/wakely-pond/photos-wakely-pond-sep-20-2013-part-a.html) Wakely Pond on
Friday Sep 20, 2013. Copyright (c)2013 Andy Ar","https://farm4.staticflickr.com/3861/15257356162_bbe1885c84.jpg",0,43.740733,-74.468292,15257356162,"45846171@N04"," ","9/20/2013 14:08","9/16/2014 13:26","water","lake","nature","body of water","wilderness","loch","sky","river","tree","reservoir",60703,1,"NY"
18462,18470,"The Night Sky from Foss Mountain. White Mountains, New Hampshire © Copyright
Rich Pope All Rights Reserved","https://farm9.staticflickr.com/8427/7780689618_0aa3822436.jpg",0,43.881438,-71.040558,7780689618,"38358789@N07"," ","8/6/2012 20:37","8/14/2012 11:55","sky","nature","atmosphere","night","astronomical object","star","phenomenon","horizon","dawn","landscape",18470,3,"NH"
239330,239339,"Photo by Jonmikel","https://farm6.staticflickr.com/5572/15105205662_afbdff9147.jpg",0,44.3069,-68.191139,15105205662,"7630637@N02"," ","8/30/2014 11:19","9/1/2014 13:43","sea","coast","body of water","shore","ocean","rock","promontory","water","sky","coastal and oceanic landforms",239339,4,"ME"
7587,7593,"DCIM\110GOPRO\GOPR4059.JPG","https://farm5.staticflickr.com/4709/38799063385_5ba80ffc79.jpg",0,43.647172,-71.913414,38799063385,"44126613@N00","Dedham, MA","1/14/2018 12:21","1/15/2018 2:36","snow","winter","sky","nature","tree","wilderness","freezing","mountain","leaf","morning",7593,3,"NH"
205010,205019,"Fuller Bridge - Montgomery, VT","https://farm9.staticflickr.com/8441/7980731180_917d1a0ec1.jpg",0,44.903241,-72.639677,7980731180,"55886671@N05"," ","9/12/2012 5:45","9/12/2012 21:31","water","shack","shed","tree","house","cottage","wood","home","real estate","log cabin",205019,2,"VT"
207933,209643,"Dcim\110gopro\Gopr2190.Jpg","https://farm5.staticflickr.com/4420/36655874936_bb5cd524a5.jpg",0,44.26068,-71.257087,36655874936,"15970544@N08","Dedham, MA","8/17/2017 10:45","8/21/2017 0:32","nature","vegetation","nature reserve","forest","tree","leaf","jungle","rock","rainforest","water",209643,3,"NH"
208519,206896,"The Fryeburg Fair is a large agricultural fair held annually in Fryeburg in
the U.S. state of Maine on 1154 Main Street. The fair was first held in 1851,
and in subsequent years has grown to become the state's largest agricultural
fair. The Fryeburg fair","https://farm8.staticflickr.com/7346/10098826576_77cef7d3a5.jpg",0,44.036344,-70.974045,10098826576,"98037770@N00","Standish, Maine","10/4/2013 11:12","10/5/2013 12:28","car","land vehicle","vehicle","woody plant","tree","luxury vehicle","public space","plant","city","motor vehicle",206896,4,"ME"
184051,183440,"Chamberlin Covered Bridge Lyndon, VT 1881","https://farm4.staticflickr.com/3711/20107795398_cea4d9c119.jpg",0,44.516506,-72.016636,20107795398,"34674104@N02"," ","8/3/2015 12:37","8/4/2015 20:15","bridge","infrastructure","road","architecture","tree","fixed link","concrete bridge","girder bridge","truss bridge","house",183440,2,"VT"
63020,63028,"New for 2017 at Camp of the Woods in Speculator New York - Larsen Lodge. The
Lodge is built in honor of Ralph Larsen, a friend of Camp and a Gospel
Volunteers, Inc. board member. Just steps from the beach the first floor is a
lounge with center for wifi","https://farm5.staticflickr.com/4390/36050571920_cd0fabab11.jpg",0,43.489918,-74.353666,36050571920,"64964567@N00","Pennington, NJ","8/6/2017 8:29","8/8/2017 17:04","room","living room","wall","interior design","dining room","flooring","home","floor","table","furniture",63028,1,"NY"
230594,230603,"9 AM summit!","https://farm8.staticflickr.com/7538/29635487814_d07d1abac0.jpg",0,44.936485,-70.504846,29635487814,"148022219@N08"," ","9/13/2016 8:47","10/11/2016 20:14","mountainous landforms","mountain","ridge","sky","mountain range","wilderness","rock","outdoor recreation","fell","summit",230603,4,"ME"
133159,133168,"This image from a location made famous by the incomparable Carl Heilman II,
from the ledges on the south face of Mt Van Hoevenberg. The high peak is
Algonquin, NY's second highest peak, and the small peak at mid-right is Mt Jo.
Left of Algonquin are Cold","https://farm5.staticflickr.com/4467/24083269458_8d3af723de.jpg",0,44.210027,-73.931014,24083269458,"42277392@N00"," ","10/13/2017 7:09","10/25/2017 22:47","wilderness","ecosystem","vegetation","leaf","shrubland","ridge","national park","mountain","badlands","tundra",133168,1,"NY"
16053,16060,"Squam Lakes Natural Science Center near Lake Winnipesaukee, NH","https://farm1.staticflickr.com/559/19141445223_294e767fd5.jpg",0,43.732327,-71.59115,19141445223,"21196647@N02"," ","6/14/2015 11:30","7/17/2015 3:07","squirrel","fauna","mammal","wildlife","fox squirrel","rodent","organism","terrestrial animal","tree","chipmunk",16060,3,"NH"
174420,174429,"Photos courtesy of RaceWire.","https://farm8.staticflickr.com/7052/26893592270_6e9139567f.jpg",0,44.475976,-72.709536,26893592270,"28555778@N00","Gaithersburg, MD","5/22/2016 7:41","5/22/2016 11:42","endurance sports","sports","race","car","recreation","duathlon","triathlon","vehicle","competition","personal protective equipment",174429,2,"VT"
99294,99303,"DSC_0116","https://farm6.staticflickr.com/5813/22101806192_c1fa7cdc03.jpg",0,43.546559,-73.663147,22101806192,"22711505@N05"," ","7/29/2015 14:16","10/12/2015 18:06","waterway","water","boat","reflection","water transportation","boating","watercraft","dock","sky","canal",99303,1,"NY"
18409,18417,"This image is one of a series of ""raw"" images I took for my time lapse of the
Aurora over Chocorua.","https://farm8.staticflickr.com/7251/7583779530_584b1961b9.jpg",0,43.89656,-71.23149,7583779530,"13086086@N02","L-town, CA","7/14/2012 22:37","7/16/2012 17:11","black","sky","night","atmosphere","darkness","atmosphere of earth","geological phenomenon","phenomenon","horizon","midnight",18417,3,"NH"
18906,18914,"DCIM\110GOPRO\GOPR3758.JPG","https://farm5.staticflickr.com/4563/23966843657_7ec28f4271.jpg",0,44.156633,-71.698703,23966843657,"44126613@N00","Dedham, MA","12/2/2017 11:12","12/4/2017 15:15","snow","winter","architecture","tree","freezing","house","building","blizzard","ice","sky",18914,3,"NH"
164584,164593,"HDR from 3 image stack, direct from Lightroom","https://farm5.staticflickr.com/4449/37398186780_7fc593cfe3.jpg",0,44.393975,-73.260216,37398186780,"31827372@N00"," ","10/12/2017 7:15","10/12/2017 16:01","sky","field","dawn","morning","evening","sunrise","rural area","tree","horizon","atmosphere",164593,2,"VT"
279922,279939,"At Mizpah in Grand Isle, Maine.","https://farm4.staticflickr.com/3882/14841158337_23736302dc.jpg",0,47.269496,-68.170418,14841158337,"40646519@N00","Manorville, Long Island","8/15/2014 10:39","8/25/2014 4:23","reflection","water","nature","lake","pond","nature reserve","tree","reservoir","grass","wetland",279939,4,"ME"
18399,18407,"The peak activity lasted from 0100 until 0125 on 7/15/12. This is after a 15
minute exposure. Excuse the slant, I didn't have a tripod and was using a rock
that clearly had a slope to it.","https://farm9.staticflickr.com/8141/7583808158_33dff343a6.jpg",0,43.89656,-71.23149,7583808158,"13086086@N02","L-town, CA","7/16/2012 12:30","7/16/2012 17:11","nature","aurora","atmosphere","sky","night","phenomenon","darkness","geological phenomenon","landscape","horizon",18407,3,"NH"
231933,231942,"Bessa R3A and Voigtlander Nokton 40mm f/1.4 SC Kodak Ektar 100","https://farm4.staticflickr.com/3855/14672471588_27ae9c0058.jpg",0,44.17194,-68.713367,14672471588,"20905078@N04","Oroville, CA","6/1/2014 0:00","8/8/2014 13:01","blue","standing","day","toddler","room","snapshot","child","product","arm","fun",231942,4,"ME"
249307,249316,"Dawn at Jordon Pond in Acadia NP with the North and South Bubbles in the
distance.","https://farm5.staticflickr.com/4472/24211901088_df9732d1fe.jpg",0,44.323496,-68.253496,24211901088,"126499989@N08","Cold Spring, NY","10/19/2017 7:42","10/31/2017 13:59","reflection","water","nature","loch","lake","sky","wilderness","mountain","highland","reservoir",249316,4,"ME"
56585,56593,"Variable as it is controlled by water releases from the hydroelectric dam a
mile upstream from the falls. Generally speaking, 750cfs and above is best for
a decent water flow, amd when releases are very high, the entire falls will be
one roaring torrent,","https://farm9.staticflickr.com/8053/8101469085_7fac9bed43.jpg",0,43.547537,-75.939023,8101469085,"44510773@N08"," ","10/12/2012 3:06","10/19/2012 1:26","water","nature","river","body of water","reflection","tree","stream","wilderness","creek","leaf",56593,1,"NY"
24529,24529,"Maple Syrup season in NH","https://farm9.staticflickr.com/8528/8565220458_ee8181685f.jpg",0,44.270551,-71.764578,8565220458,"36304408@N08"," ","3/10/2013 9:52","3/17/2013 13:07","snow","winter","house","tree","home","log cabin","freezing","shack","sugar house","cottage",24529,3,"NH"
107186,107195,"Fall colors surround this house with a tower","https://farm8.staticflickr.com/7290/10215213995_f1cbfe04b4.jpg",0,44.068497,-76.134178,10215213995,"15947776@N06"," ","10/10/2013 9:42","10/11/2013 22:15","nature","home","property","tree","leaf","estate","sky","house","real estate","cottage",107195,1,"NY"
131325,131334,"such a pleasant time to be outside","https://farm6.staticflickr.com/5749/20109941513_1df739347e.jpg",0,44.205052,-73.782739,20109941513,"12748758@N00","Chevy Chase, Maryland","8/6/2015 17:25","8/20/2015 11:33","nature","tree","plant","green","woody plant","grass","sky","lawn","leaf","leisure",131334,1,"NY"
